sample,SE,CI Lower,CI Upper
sampled_data_1.csv,6.257637533335542,64.99912605738781,92.81684873069179
sampled_data_2.csv,5.7728961340230835,72.70589229974831,100.88762989784395
sampled_data_3.csv,6.348123501283123,55.394815253124165,90.41649852070445
sampled_data_4.csv,5.164759772100103,74.79825165729372,97.75122509158935
sampled_data_5.csv,6.257072485905182,69.51046962501405,96.37756019800085
sampled_data_6.csv,4.3342731328628705,69.97868672882198,91.75763771417567
sampled_data_7.csv,5.915085356319918,49.381009138315214,83.00858398484505
sampled_data_8.csv,4.963161565356798,65.21450972038579,88.13041959302117
sampled_data_9.csv,4.8387780357799235,70.90680543044964,90.97013290578833
sampled_data_10.csv,5.5127887207364905,69.77720562691704,94.77068493149815
sampled_data_11.csv,5.848227557988357,68.38598986400908,93.46690779365635
sampled_data_12.csv,5.489340421462961,71.32713658026098,94.53193088918148
sampled_data_13.csv,5.623446658914708,75.93994808463414,99.87120338727841
sampled_data_14.csv,4.7153473951144,58.15969242844396,82.85682828248098
sampled_data_15.csv,5.3847164590791605,58.08631794663361,86.22311464793967
sampled_data_16.csv,4.8046500735220725,66.36223091618201,87.89851475878297
sampled_data_17.csv,4.340151715887005,70.65962137195811,87.97545429466156
sampled_data_18.csv,5.619790977683697,68.19315168172149,95.41352783293912
sampled_data_19.csv,5.464040961826825,61.79897567782315,88.44162928316533
sampled_data_20.csv,5.863193860575577,63.44425064242575,90.29579437450334
sampled_data_21.csv,6.144598906551106,67.99292863989992,94.94702606191424
sampled_data_22.csv,5.595502825452546,68.01893429397057,93.79656414762745
sampled_data_23.csv,4.901693398357841,71.81445044981231,92.9034786072562
sampled_data_24.csv,5.581311190745529,60.65887049025305,88.3921370997976
